信件标题,信件编号,办理单位,状态,类型,链接
性关系当的领导,G20180707-0027,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164729df3f10661
武警对大连屠城 为了中华人民共和国 为了党！,G20180707-0026,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164729d54d80660
送你们三个字,G20180707-0025,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164728f48fe0655
工资待遇 合同 元帅装（上将装呢） 枪呢？问一下哈,G20180707-0024,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164728c9d510652
哈哈 胜利了 总理在签订协议割地赔款,G20180707-0023,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016472802059064f
请问党主席是什么意思 天才中的天才是什么意思 第一名什么意思,G20180707-0022,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016472706ab8064a
APGEP是什么？傻逼的意思是不是？就那样一下,G20180707-0021,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164726da5500648
它们兽性农村B选的,G20180707-0019,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101647265bd160644
精神病院还在乱抓人 不是我管的吧？中药哪去了？独吞了？,G20180707-0018,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164726351910643
我管完了 提拔 不要脸 治国理政 是治国方略只有我懂,G20180707-0017,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101647260dc250641
碰到傻逼往死里揍！  治安肯定会好,G20180707-0016,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164725049b1063e
涉密仪器乱用杀害100万战友 习惯了吧？人累了就休息怎么疲劳牺牲？,G20180707-0015,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016472370e180635
胜利路回迁产权,G20180707-0011,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016471dc0b430616
孙子兵法三十六计 跑为上策 关键是没跑了 我要去美国！10艘航空母舰,G20180707-0008,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016471ced465060f
命令 全国玉碎！同归于尽！,G20180707-0007,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016471cd9d67060e
是被他们拽去打仗的 想逃跑没跑成 我不想吸鸦片 救命啊,G20180707-0006,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016471cb9518060c
虽然我是全宇宙最强的指挥官但是我是被他们拽去打仗的 救命,G20180707-0005,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016471c3d1bf060a
王星 有老婆和别的丈夫老婆上床 基督徒 淫乱 肯定不行,G20180707-0004,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164719433f605ff
哎哎 有人偷我东西 我的弹药 臭鸡蛋 烂西红柿 弹药不够啊,G20180707-0003,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101647186628b05fd
举报大连东海金控科技有限公司违纪违法经营,G20180707-0001,高新区人力资源和社会保障局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164713735d705ec
大连金普新区城乡建设局 出具的信访答复书不合格,G20180706-0064,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646ec125ba0552
请转甘井子区红旗街道 红凌小区配套小学,G20180706-0062,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e9dbc1f053a
中国和列强的贸易战相当激烈 不过我提前秘密部署好了 中国必胜！,G20180706-0059,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e87070e052b
美的洗碗机故障维修近一年无果,G20180706-0056,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e5afd130514
请执行国家主席令62号令 不然随时上报主席,G20180706-0054,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e54b3520511
投诉 农村国礼医院乱抓大城市高档次人,G20180706-0053,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e524fe10510
列强的军事行动 部署 这很有趣 不是吗？,G20180706-0052,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e4f79d2050e
美的洗碗机故障维修近一年无果,G20180706-0050,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e4b78630507
美的洗碗机故障维修近一年无果,G20180706-0049,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e471dcd0503
城市建设不错 中国锦绣山河 领导正直 军舰漂亮 美女如云..,G20180706-0048,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e46cb450501
看来外国人也嫉妒,G20180706-0047,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e44d1740500
则令全国人民解放军随机打把 一发 两发 试验一样弹药火力,G20180706-0046,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e419c3f04fc
注意检查 北海舰队弹药 日本那么自信是为什么呢？,G20180706-0045,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e3fd95f04fb
国产055万吨大驱第六艘或现身：全国船厂正同时建一个法国海军,G20180706-0044,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e3c9af504fa
政府部门是否可以把动迁资料。给无关人员复印作为法院断案依据。,G20180706-0041,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e21d84e04e9
痛斥大连东海金控科技有限公司,G20180706-0040,高新区人力资源和社会保障局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e17865204e0
痛斥举报大连东海金控科技有限公司强占拖欠收入,G20180706-0039,高新区人力资源和社会保障局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e163fd604dd
举报痛斥大连东海金控科技有限公司强占拖欠劳动收入,G20180706-0038,高新区人力资源和社会保障局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646e0b08ab04da
收购网络小贷公司相关咨询,G20180706-0033,金融发展局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646dc573fc04c1
甘井子区阳光国际游泳健身会所消费投诉,G20180706-0032,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646dc025c404bc
关于甘井子区阳光国际游泳健身会所污水排放及水质问题,G20180706-0031,环保局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646dbc05d104b8
咨询网络小贷公司发起人情况,G20180706-0028,金融发展局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646d99d89704a2
痛斥大连东海金控科技有限公司强占拖欠劳动收入,G20180706-0025,高新区人力资源和社会保障局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646d67f1780488
宁夏首富曾卷入官员腐败案 女儿称他也吃8块的拉面_新闻频道_中华网,G20180706-0024,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646d63b5c10487
经网易官方报道目前出现干部吃8元拉面被举报查处的情况 请防范,G20180706-0021,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646d5e00440483
住房公积金建行卡领取问题,G20180706-0020,大连市住房公积金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646d3476ad0468
名仕佳园要加强公用设施管理和维护,G20180706-0019,长海县人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646d215881045e
七顶山街道徐燕，利用职务，不给百姓取暖。不让交取暖费,G20180706-0017,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646d1e46d7045c
日本案件 麻园札幌被处以死刑 这就是日本人全国信奉的恶魔,G20180706-0016,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cfb7e7d0448
军事建议：建议中国反舰巡航导弹群陆续进入作战状态,G20180706-0012,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cdcd9420434
战报：日本鬼子 美国 法国 英国联合舰队在南海绕圈........,G20180706-0011,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cda6f580433
我是终身制 不必担心 谁也免不掉 而且我很努力工作部不是吗？,G20180706-0009,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cd2829f042f
我是中华人民共和国指挥官众所周知  军事战术在部署,G20180706-0007,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cc146f60425
日本方面的武器虽然很先进 但是对弹道导弹非常不屑一顾,G20180706-0006,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cb9adec0422
各司其职,G20180706-0005,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cb911d00421
建议中国中远程导弹群密集锁定日本 主要炸日本核电站,G20180706-0004,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cb79299041f
众所周知 原人民群众领袖,G20180706-0003,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646cada0ca041c
外媒：日本准航母将再巡南海 被指可牵制中国,G20180706-0002,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646c9d93470418
免涉案人员全部职务 交于司法局处理 国家第7把手,G20180706-0001,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646c93101b0415
老人被困电梯，谁也不负责，当事人女儿,G20180705-0051,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646b1aa81903d9
交通,G20180705-0039,金普新区管理委员会,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016469e4b3740380
痛斥大连咸蛋科技有限公司强占拖欠劳动收入,G20180705-0036,高新区人力资源和社会保障局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164699a92720364
70年代的房子什么时能能做上暖房子工程？,G20180705-0034,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164698a0c1b035b
大连骅尔重工有限公司拒付员工个人伤残费用,G20180705-0029,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164696050140340
国家最高联合授权最高秘密领导 秘密任务,G20180705-0028,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164694488e90335
甘井子区远洋荣域B2区5号楼公建楼顶违建,G20180705-0023,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164689ed6f202e1
根据暂住证条例 相关法律规定  农村人不得进入大城市,G20180705-0015,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646836b0b102a4
投诉原红旗镇派出所 张美荣协警渎职犯罪 非法继承我姥姥姥爷财产,G20180705-0009,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016467d92f170263
投诉大连国礼医院不给精神病人薛全福治疗 对抗国家主席令,G20180705-0008,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016467cd596e025f
表扬 公积金管理中心,G20180705-0007,大连市住房公积金管理中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016467cb2a8e025c
痛斥大连咸蛋科技有限公司强占拖欠劳动收入,G20180705-0006,高新区人力资源和社会保障局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016466a6c0cc0220
痛斥大连咸蛋科技有限公司强占拖欠劳动收入,G20180705-0005,高新区人力资源和社会保障局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016466a513b9021f
痛斥大连咸蛋科技有限公司强占拖欠劳动收入,G20180705-0004,高新区人力资源和社会保障局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016466a30793021e
痛斥大连咸蛋科技有限公司强占拖欠劳动收入,G20180705-0003,高新区人力资源和社会保障局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164669fc927021c
高新区行政执法局在哪,G20180704-0042,高新区行政执法局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016465c3c7eb01f1
漯河职业技术学院辽宁教学实训基地滥收 私收 多收 教学费用私自修改 学生学籍,G20180704-0038,教育局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016464f20a8001b4
军功章铜的 你一半我一半 死了家属替换你,G20180704-0037,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016464e23e7a01b0
请不要抬杠  好好工作,G20180704-0035,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016464964366019c
仅公安 军事 律师  医师 我也是首屈一指 谢谢,G20180704-0034,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646492ddb7019a
大连不欢迎农村低学历人到大连工作,G20180704-0033,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164648e3bca0198
有关易和熙园小区幼儿园申办进度,G20180704-0025,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016463f2daae015a
公积金贷款办理房产证的问题,G20180704-0022,大连市住房公积金管理中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164638e8b3a0133
2018.7.03 又有两艘万吨驱逐舰下水,G20180704-0021,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164638cec700132
00X航母效果图看中国核航母规划1/21 苏联当年也是这个时候出事的,G20180704-0020,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164638912f60130
关于商铺租赁备案,G20180704-0010,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164630623c300ef
外墙保湿,G20180704-0011,甘井子区城建局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646305e14f00ee
管管这个垃圾场吧太影响民生了,G20180704-0012,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa26101646305ad2600ed
居民楼一楼卤肉味道过大，24小时不间断,G20180704-0002,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa2610164627668f900a8
日本力图通过维和扩大在非洲影响力以此对抗中国,G20180704-0001,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081645fa261016461da83830088
华南三轮车贩卖CD行为,G20180702-0033,甘井子区人民政府,已办结,,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee501645a24d12c006e
大连地铁5号线什么开通,G20180630-0001,大连地铁集团有限公司,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee501644c4dee76006c
人才补贴,G20180621-0028,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50164216b5235005f
房屋信息查询,G20180612-0018,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50163f2fa15530057
大学生住房补贴需要的材料,G20180612-0012,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50163f251960d0055
船员证,G20180604-0004,大连海事局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50163c82bf9e6004c
市民提问，为何不予受理,G20180429-0009,交通局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50163111f8723002b
落户有单位合同、社保、房产证为何还需要居住证？,G20180427-0007,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee5016304ba80880027
急！教师证现场审核过了，为什么网上报名系统还是待审核状态,G20180424-0025,教育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50162f61cec810019
我的企业需要变更名称 然而工商不批,G20180421-0004,工商行政管理局,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50162e65844310013
营业执照延长经营期限,G20180418-0013,工商行政管理局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50162d6953e2f000f
房地产开发暂定资质延期,G20180410-0039,城乡建设委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff808081628a1ee50162ae76de140007
查询资格证真伪,G20180703-0027,大连市道路运输管理处,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645f77d8502ef2
楼下烧烤店污染空气扰民,G20180703-0024,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645ed291b82ebb
大连英斯特体育产业有限公司骗老百姓钱,G20180703-0021,解放广场管理所,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645e1f2ffe2e71
大连英斯特体育产业有限公司,G20180703-0020,解放广场管理所,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645e19d22b2e6e
小区家里、电梯和地下车场手机没信号,G20180703-0019,辽宁省大连市通信管理局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645e1124e32e67
华丰金山花园未经综合验收，开发商违规交房，危害业主生命安全。物业不作为，管理混乱，绿化不达标，环境脏乱差。,G20180703-0014,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645da5f6ce2e39
大连英斯特体育产业有限公司倒闭未履行承诺,G20180703-0011,解放广场管理所,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645da3fbb22e38
残疾人生活困难,G20180703-0008,瓦房店市人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645d7919102e28
中国1996年买的SU27 发射一枚导弹要19个按钮,G20180703-0007,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645d7798292e27
听说越南贪污腐败成风 我们去买他们的SU30 SU27过来看看,G20180703-0006,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645d745a2a2e25
我们为什么对越反击战 因为忘恩负义 背信弃义,G20180703-0005,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645d6f326d2e23
为什么美国60年代倾全国之兵灭不了越南 中国反击战也是,G20180703-0004,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645d68b2e72e1f
求助,G20180702-0042,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645abf519f2d92
经历反华势力反复冲击后 我建议公安对中国拥有实战人才保卫,G20180702-0039,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645a585a4f2d72
决不冤枉一个好人 绝不放过一个坏人 何时改变过？,G20180702-0038,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645a4261c22d6b
中国共产党中央军事委员会和中华人民共和国中央军事委员会，,G20180702-0036,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645a393b7f2d68
在反复工作中 功劳要摆在第一位 错误摆第二位,G20180702-0035,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645a2c909e2d5f
关于（昕强公司诈骗）无监管部门处理一事,G20180702-0032,工商行政管理局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645a13d77f2d57
跪求领导帮忙协调土地储备中心，解决金山花园被封房子的问题,G20180702-0029,信访局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016459fc0e042d4d
反映沙河口区第15幼儿园出入不便的问题，希望教育局或街道社区沟通协调。,G20180702-0028,沙河口区李家街道办事处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016459e799232d3f
瓦房店市政府官网,G20180702-0024,瓦房店市人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016459ba696d2d25
大连艺术学院音乐学院导员扣发毕业生报到证,G20180702-0020,教育局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164594440762ce9
西安路英思特游泳健身会馆关闭，要求退卡退款,G20180702-0018,解放广场管理所,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645923d1c42cd3
大连英斯特健身（辽宁省大连市沙河口区黄河路650号地下一层）关门跑路，近百万会员款项无退还,G20180702-0015,解放广场管理所,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164590328c12cc2
关于大连港集装箱进出口业务的放箱单、提返箱工作时间的建议,G20180702-0013,港口与口岸局,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016458ed9eb12cb5
秦皇岛疯盖大楼房和大连比 关键1000元月工资的秦皇岛.....,G20180702-0008,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016458915e142c82
四季瑞祥酒店无营业执照私自安装牌匾及排油烟设置问题,G20180702-0006,瓦房店市,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164585413bc2c6b
丑陋拙劣的合谋报复!,G20180702-0005,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164584aa1092c67
黑臭水问题投诉,G20180702-0004,沙河口区城建局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016458259ec42c5c
消费卡突然被告知终止使用，卡内尚余1255元,G20180702-0003,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016457ec43402c4a
消费卡突然被告知终止使用，卡内尚余1255元,G20180702-0002,马栏管理所,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016457eab95c2c48
北国风光 千里冰封 万里雪飘,G20180702-0001,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016457e426e72c44
