反映内容,反映时间,反映标题,反馈时间,受理单位,受理编号,处理状态,答复内容,链接
本人去年购置一房子，办理过户手续时，房主才发现房子是查封状态的。原由是房主多年前离婚时的判决有误会（之前判房主给前夫钱，后来房主上诉，又改为前夫给房主钱），房子查封是第一次判决的结果，已经被最终判决推翻了，但是房子始终没有解封。房主后续积极跟法院沟通此事，法院却将此案交给正在休病假的迟永昌（甲状腺癌手术）法官负责。我们觉得本身这个案子分配就有问题，但是也忍了，就一直等！从年前一直等到今年5月份迟法官终于来上班，此事终于有进展。不料迟法官又被调走，我们的案子又一次没人接管，我跟房主去沙区法院找了不下十次，打办公室电话不接，出入必须跟法官沟通，我这个事情没有法官负责，我进都进不去！！！6月13日下午我又一次去了沙区法院，几经周折见到执行厅的李厅长，沟通后让我跟王洋局长说此事，我便在门外等王洋局长开会，等到五点多还是没等到，李厅长过来告诉我明天再来找王洋局长，第二天，我到后联系了李厅长，他告诉我：等！他跟王洋局长电话说了。我就继续等，大概十点了，王洋局长下来，我跟他说了不到两分钟就很不耐烦的跟我说“你等我了解一下情况吧”我说我不是在跟您说情况吗？他说我得核实一下，便匆匆离开，进门，把我挡在门外，我当时一边手顶着门一边加快语气跟他说这件事情，他根本不听，匆匆上楼！没有丝毫的身在其位为民做主的感觉！两天傻等就等来了他还不了解情况？据房主了解，这个案子已经开过不下两次会研究，并且也有意想分配给其他法官办理，但王洋同志没有签字。王洋作为一个沙区法院的局长竟然跟我说他不知情？不了解？这不是赤裸裸的欺骗群众吗？党和国家选出的领导就是这幅模样吗？买这套房子本来就是为了孩子上学，现在还办理不了落户！大家都知道不落户就别指望入学！谁家孩子的教育问题都是家长心尖上的事。沙区法院一拖再拖的做事风格，实在让我忍无可忍，不然不会给政府添麻烦！请我们伟大的党和政府帮帮我这个母亲！,2018-06-20 12:32:10,沙区法院办事拖沓，执行部门不作为,2018-06-25 13:33:36,大连市公共行政服务中心,G20180620-0017,已办结,尊敬的网友您好：回复结果请查看附件，谢谢！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641b70a41e1749
我房子在甘井子区虹港路253号楼，孩子户口在西岗区，孩子准备在这周边上学，学区划分为郭家街小学，现在因房子为军产房，孩子报不上名，很着急，求帮助。,2018-06-20 12:37:39,关于孩子上小学报名相关事宜,2018-06-21 15:32:07,甘井子区人民政府,G20180620-0019,已办结,尊敬的诉求人您好：按照《大连市2018~2019年度中小学招生工作要求》：学生就近入学主要依据学生父母或者其他法定监护人的房屋产权证和户口簿并核实学生实际居住地。军产房凭房屋产权证或部队开具的相关证明可以正常办理入学。您的相关情况学校已有登记，学校会按照相关政策解决好您孩子的入学问题。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641b7131dd174a
大连甘井子区姚工街屹辰优生活小区217号楼12楼15号业主装修期间私自对楼体外墙面（承重墙）进行破坏性施工（打洞、钻眼），对外墙保温和防水起到一定破坏。,2018-06-20 14:09:07,违规装修举报,2018-07-11 10:38:47,甘井子区人民政府,G20180620-0022,已办结,尊敬的网友您好：接件后，执法人员立即去现场调查，在现场，从楼下往上看，业主在墙体外墙设有排烟孔。经了解，业主在房屋装修时，破坏了楼体外墙面。执法人员与当事人进行了沟通，向其宣传政策，做教育引导工作，让其尽快自行整改、恢复原貌。同时，执法人员与该小区物业人员进行了沟通协调，相互配合，督促当事人尽快整改。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641bc683461770
您好，我是大连辉盛阁国际公寓的工作人员，我们酒店于2018年5月18日正式开业。希望成为大连市政府定点采购酒店。请问需要怎么办理？盼回复谢谢,2018-06-20 14:21:21,申请成为大连市政府定点采购酒店,2018-06-20 16:00:50,大连市公共行政服务中心,G20180620-0023,已办结,尊敬的网友您好：您的问题不在我平台受理范围。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641bd895881781
你好市领导，我在我在民意网投诉的问题辽宁省大连市甘井子区友好园15号楼下，土木汽车美工坊现在，旁边加盖违章建筑用于无证非法经营路边烧烤，天天放球赛歌声老大，来吃烧烤的人也在楼下大吵大嚷的天天一两点钟，我作为市民根本无法正常的生活和休息，他家的那个排烟系统烟也随便排放，大夏天的都不能开窗，在后面又私自挖了个坑用于拍污，这都投诉一个月了也没解决，真的是多项违法，工商的无证经营，消防的消防隐患，环保的噪音扰民污染环境，综合执法的违章建筑路边烧烤，到现在没一个部门给解决的，市领导是不是应该关心下我们的民生问题，给我们解决解决。,2018-06-20 16:05:29,私搭乱建无证经营噪音扰民污染环境,2018-06-21 09:47:46,甘井子区人民政府,G20180620-0034,已办结,尊敬的诉求人您好：接到诉求办理任务后，幸福社区高度重视，第一时间向安排工作人员到现场调查核实。通过了解情况，土木汽车美工坊负责人将门前一处空地进行烧烤加工，工作人员告知烧烤负责人该处不让露天经营，如该处不自行清理，近期执法人员将对其进行强制清理。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641c375bc317b3
干活不给工钱,2018-06-20 16:56:31,农民工讨薪,2018-06-21 13:59:48,大连市公共行政服务中心,G20180620-0036,已办结,尊敬的网友您好：请写清楚具体拖欠工资单位，方便转职能部门处理。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641c6039e817c5
我和几个朋友想开家有限责任公司，请问在那里可以办理？能在网上办吗？,2018-06-20 17:27:38,有限责任公司登记,2018-06-21 13:57:28,大连市公共行政服务中心,G20180620-0037,已办结,尊敬的网友您好：请您写清楚具体注册地址，以及详细咨询问题，方便转属地化处理。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641c84567b17d5
举报公务人员赌博，在金州陶瓷城一田姓商铺，你们是怎样处理的,2018-05-31 18:48:44,咨询你们是怎样处理公务人员聚众赌博,2018-06-01 09:50:17,大连市公共行政服务中心,G20180531-0049,已办结,尊敬的网友您好：您反映的问题建议向纪委反映。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163b5ce1a577923
回迁之前的房子有70年的产权证，回迁后至今10年，产权一直无法办理，但是同一个小区，商品房却可以办理，请问回迁房的产权办理手续是否有详细说明？,2018-05-30 22:26:16,回迁房产权如何办理,2018-06-04 13:32:22,交易发证中心,G20180530-0052,已办结,住户您好：通过与您沟通我中心了解到，您位于甘井子区前关村的回迁房屋产权暂未办理，为此提此诉求。现向您做如下答复：我中心办理回迁安置产权登记从未间断，依据相关法律法规规定，安置单位应当先取得安置房屋的产权（办理房屋首次登记）并缴纳相关税、费后，才能申请将房屋转移到被安置人名下。根据您的情况，办理产权时需由鲲达公司与您双方共同到场申请。提交材料如下：1、双方的身份证明原件及复印件2、安置单位的授权委托书原件；3安置房屋的产权证原件；4、《动迁补偿协议原件》或《投资代建协议》原件；5、《契税完税证》或《减免税证明》原件；6、住房维修基金发票原件；7、《大连市不动产登记申请书》；近日，鲲达公司相关人员已于我中心联系，对方表示办理产权的前置程序已基本理顺，即将启动办证程序。我中心对符合上述条件的安置房屋进行登记，办理时限为3个工作日。具体进度你可就近联系鲲达公司。感谢您的关注！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163b16d35db7755
我在房交所司法协助窗口办理业务时，林寒科长对我这样耳朵背，眼睛花，记忆力不好，反复啰嗦的老年人，不但不反感，还耐心解答，始终面带微笑。我非常感动，借助这个平台表示感谢！希望多一些这样的人民好公仆！,2018-05-29 17:31:12,感谢房交所司法协助林寒科长,2018-05-31 09:03:43,交易发证中心,G20180529-0036,已办结,住户您好：感谢您对我们工作的认可，我们将一如既往的继续为老百姓服好务。感谢您的关注！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163ab3b0e257553
我在房交所司法协助窗口办理业务时，林寒科长对我这样耳朵背，眼睛花，记忆力不好，反复啰嗦的老年人，不但不反感，还耐心解答，始终面带微笑。我非常感动，借助这个平台表示感谢！希望多一些这样的人民好公仆！,2018-05-28 19:24:10,感谢房交所司法协助林寒科长,2018-05-31 09:02:56,交易发证中心,G20180528-0028,已办结,住户您好：感谢您对我们工作的认可，我们将一如既往的继续为老百姓服好务。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163a67bd9f273b6
今年年初十我爱人被网友骗到大连做传销，此间我向大连市经侦支队、大连市110、大连市经济技术开发区分局、哈尔滨路派出所求助过。要么是因为我本人不在大连拒绝了，要么就敷衍了事再无下文。我希望大连有关部门帮帮我好吧，我们老百信不容易，家里还有小孩天天哭着要妈妈。她叫张玉女身份证号：341226198309116125这是她在大连的手机号：1384081748015382262765均已停用，我们真心恳请有关领导帮帮我们，帮帮这个家庭。,2018-05-26 17:16:58,怀疑我爱人被骗到大连做传销,2018-05-29 13:51:11,开发区分局,G20180526-0008,已办结,尊敬的网友您好：此种情况需要其到公安机关报案，由公安机关询问后进行先期调查，尔后确定是否符合立案条件。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301639baa5c7c702a
通过网上司法拍卖取得的70年产权住宅，需要缴纳什么税费，具体缴纳多少，有没有相关文件,2018-05-24 16:25:50,网上拍卖取得的住宅税费缴纳问题,2018-05-25 16:27:27,地税局,G20180524-0040,已办结,经与纳税人沟通，其反映的问题是通过司法拍卖的方式个人将住宅转让，其中双方都是自然人，现想咨询双方需要缴纳的税款。转让方：1）个人将购买不足2年的住房对外销售的，全额征收增值税；个人将购买2年以上（含2年）的住房对外销售的，免征增值税。个人转让其购买的住房，按照有关规定全额缴纳增值税的，以取得的全部价款和价外费用为销售额，按照5%的征收率计算应纳税额。2）城建税、教育费附加和地方教育附加：缴纳城市维护建设税（纳税人所在地在市区的，税率为7%；纳税人所在地在县城、镇的，税率为5%；纳税人所在地不在市区、县城或镇的，税率为1%）、教育费附加（3%）和地方教育附加（2%）。3）印花税，土地增值税：根据《财政部、国家税务总局关于调整房地产交易环节税收政策的通知》（财税〔2008〕137号）的规定，自2008年11月1日起，对个人销售住房暂免征收印花税和土地增值税。4）个人所得税：若纳税人能够完整、准确地提供转让房屋收入、成本和费用凭据的，采取查实征收方式，按照“财产转让所得”计征个人所得税，应纳税所得额为转让房屋收入额减除房屋原值和合理费用后的余额，适用20%的比例税率。如不能提供完整、准确的凭据，对转让住宅按评估价的1%核定征收。（根据《国家税务总局关于个人住房转让所得征收个人所得税有关问题的通知》（国税发〔2006〕108号）文件规定：对个人转让自用5年以上，并且是家庭唯一生活用房取得的所得，免征个人所得税。）受让方：契税：根据《财政部国家税务总局住房城乡建设部关于调整房地产交易环节契税营业税优惠政策的通知》财税〔2016〕23号文件规定，一、关于契税政策　　（一）对个人购买家庭唯一住房（家庭成员范围包括购房人、配偶以及未成年子女，下同），面积为90平方米及以下的，减按1%的税率征收契税；面积为90平方米以上的，减按1.5%的税率征收契税。　　（二）对个人购买家庭第二套改善性住房，面积为90平方米及以下的，减按1%的税率征收契税；面积为90平方米以上的，减按2%的税率征收契税。家庭第二套改善性住房是指已拥有一套住房的家庭，购买的家庭第二套住房。印花税：房屋产权证按照5元贴花。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163913ed3456d55
大连市经济适用房办理完全产权网上预约系统进不去,2018-05-24 09:55:31,大连市经济适用房办理完全产权网上预约系统进不去,2018-05-25 09:16:26,住房保障中心,G20180524-0006,已办结,尊敬的网友您好：网上办理预约登记需输入经济适用住房产权证号和产权人身份证号码，产权证号码为纯数字，如输入有误则无法办理预约登记。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301638fda48376c73
该公司对外签署的业务合同和开具的收据均为沈阳海外旅行社总公司，利用消费者的不知情偷偷转移投诉和履约主体。现在发生了纠纷，我都不知道投诉主体是谁。如果发生了事故的话。那又该由谁来承担履约和法律责任。我想请问一下该公司有没有自己的合同章如果有为什么不盖他们自己的。如果设立了分公司不履行分公司责任，发生的实际业务都是总公司的，这种算不算异地经营。,2018-05-22 15:33:43,沈阳海外旅行社大连分公司逃避履约责任,2018-05-23 09:13:26,大连市公共行政服务中心,G20180522-0040,已办结,尊敬的网友您好：请您写详细具体的经营地址，方便转职能部门处理。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016386b90e0e698a
杨长法（发）身份证：21021119240722315x咨询：杨长法1945年参军，1953年转业。并在6月由大连市公安局调到大连橡胶塑料机械厂工作。1972年，焕发转业证书时，将杨长法的转业时间写成1957年转业了。请问：转业证上写错了，去哪里纠正？,2018-05-22 10:45:00,转业证书的时间写错了，去哪里纠正,2018-05-22 13:52:13,大连市公共行政服务中心,G20180522-0016,已办结,尊敬的网友您好：此问题为历史遗留问题，平台无法流转，建议您直接向公安部门咨询。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016385b694e668ec
小区一直处于无人监管状态，小区楼道脏乱差，楼道摆放各种可燃物品，如果一旦失火，我们住户跑都跑不出去！希望政府能出面给予解决，之前都反映一回了，但是没有个解决，希望这回反应能给予彻底解决问题！小区地址处于，大连市沙河口区盖州街水源南巷7号楼2单元2楼于3楼交接位置。,2018-05-21 14:20:35,小区楼道无人管，脏乱差，存在严重的安全问题,2018-05-24 15:22:11,沙河口区兴工街道办事处,G20180521-0027,已办结,街道城建科已清理完毕,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163814e1ad06748
近日位于普兰店区铁西办事处二道岭子村张店屯202国道上中石油西200米处违章建房，正在施工！据我所知近几年国家并没有对农村下方批房名额，特别是路边商业用房，本村住房特困户（其中包括百年四世同堂险房）多次向村、办事处领导申请审批，都被拒绝，以国家政策法规给潦草答复。今日众目睽睽下，村头国道边大规模肆意建房，试问这是哪个部门，哪个领导批准的？老百姓多次拨打投诉热线反映情况，但责令地方执法落实的时候就草草了事，没有答复。这房屋哪来的审批手续，既然特困村民几年都没有轮到审批手续，面前这房屋不就是违章建筑？国是好国，法是好法，规定在人为？我们村民不解，也不会接受这不平等的待遇，大家都有理有据，拍照取证，垦请城建局领导马上到此落实，制止此房继续施工，免酿大祸！如果没有回执，我们将继续更深入的上访，将会是官民之论！,2018-05-20 10:26:44,普兰店区202国道大规模违建,2018-05-29 14:21:19,普兰店区人民政府,G20180520-0005,已办结,尊敬的网友您好：对编号20180520-0005诉求件的答复诉求人您好，首先感谢您对我街道日常工作的监督与帮助。我单位接到您投诉反应的关于编号20180520-0005位于二道岭社区违规建房的问题后，我单位给予高度重视并立即责成相关部门工作人员到该处地块进行了调查了解，调查结果如下：在调查取证过程中该处在建房屋建设行为人向我调查人员出具了于2002年经普兰店市政府房屋审批相关单位核发的房屋建设审批手续证。后经工作人员同审批单位核实，该建房审批手续是真实合法有效的。因此该处房屋并非为违章建筑。故诉求人反应的问题并不属实。多次通过诉求人留存的联系电话想与其取得沟通但电话一直处于关机状态，因此无法联系到投诉人。如您对我们的调查结果存在异议。我们欢迎您到相关审批部门核实确认。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301637b5cfa606566
请问大连封闭小区业主的自行车可以停放吗，停放有什么规定，汽车停放收费，自行车是如何规定的。,2018-05-18 10:41:03,大连小区停放自行车要求,2018-05-18 14:59:56,大连市公共行政服务中心,G20180518-0008,已办结,尊敬的网友您好：电话联系诉求人，其表示不仅要咨询，但是因网络工单记录不清晰且无法修改，建议其来电详细说明诉求后重新流转。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163711ce50f62bd
我在苏宁易购网上买的免费安装的空调，来给我安装时说公司规定收取400元吊装费。在购买页面上也没有注明如需吊装要收400元啊。安装时才告诉我收400元。其它商家都在购买页面上注明吊装费200元。苏宁没有注明，来家安装时才说收400元吊装费，苏宁想收多少就多少啊。我认为苏宁收取安装费过高，要求返还200元。,2018-05-17 07:43:57,投诉苏宁易购,2018-05-17 13:06:56,大连市公共行政服务中心,G20180517-0002,已办结,尊敬的网友您好：请提供安装门店的名称以及地址以便处理，感谢您的支持！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301636b4cf8006086
我是一家从事糕点生产加工的食品企业负责人。2013年在全国首创研发的以大连槐花为原料生产的一种糕点，名为“槐花饼”。投放市场深受客户好评。2015年、2017年，两年分别被大连市人民政府选为大连夏季达沃斯文化晚宴专用产品，同时又被选为大连第27届、28届国际赏槐会专用产品（大连市旅游局有授权书）。2017年又受到央视CCTV《对话星品牌》栏目的专访。近日，我们接到很多客户打来的投诉电话，宣称买到的槐花饼是假的，其口味与前几次购买的大不一样，后经过我们的调查发现在大连市甘井子区南关岭街道姚北路25-13-9号有一名称为：大连晟冠隆食品有限公司，他家联合大连新农佳贸易有限公司共同仿制，并明目张胆的在包装袋上标注：中国大连第28届国际赏槐会指定产品。鱼目混珠，误导和欺骗广大消费者，不但给我们企业造成了品牌受损、经济损失，同时，也给大连市政府旅游局造成的极大的名誉损失。大连民意网投诉。诉求如下：1.责令其产品立即下架。2.销毁包装物。3.停止仿制行为。向社会公开道歉。,2018-05-16 13:36:39,大连晟冠隆食品有限公司误导和欺骗广大消费者,2018-06-12 14:10:52,甘井子区市场监督管理局,G20180516-0023,已办结,尊敬的网友您好：2018年5月23日，我科执法人员到大连晟冠隆食品有限公司进行现场检查，检查中发现已经生产好的槐花饼有6大箱，每一大箱中有20个大袋，每一个大袋中有6小袋，生产日期标注为：20180523。并且在库房中发现没有使用的包装物有大包装箱300个，大包装袋6箱，小包装袋3卷。现场大连晟冠隆食品有限公司提供了：营业执照复印件，食品委托协议书，食品生产许可证，半成品检验记录，烘烤、油炸工序记录，配料工序记录表，产品销售记录，醒发工序记录，大连新农佳商贸有限公司营业执照复印件并制作了现场笔录。执法人员对大连晟冠隆食品有限公司进行拍照录像取证。2018年5月25日，我科执法人员对大连新农佳商贸有限公司法定代表人刘广成进行了询问，刘广成提供了：营业执照复印件，身份证复印件，食品经营许可证，食品委托协议书，大连赏槐会组委会证明，大连市工商行政管理局责令改正通知书，河北省宁晋县通世纸箱厂证明及入库单，沙河口区钧然商贸行发货单，“槐花饼”三种外包装照片打印件并对法定代表人刘广成制作了询问笔录。于2018年5月28日，经主管局长批准对“大连新农佳商贸有限公司”涉嫌虚假宣传的行为进行立案调查。2018年5月29日11时30分与投诉人电话联系，将检查情况告知投诉人。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301636772b6ab5f53
你好：我是（2017）辽0202民初6765号案的当事人张庆田，电话：13841151666.身份证。210202197308043715.。2017年9月8日，贵院受理了我这起民间借贷纠纷案，2017年12月14日第一次开庭，2018年1月17日第二次开庭，在庭审过程中，原被告对银行资金来往流水达成了共识，事实清楚。庭后就期盼着判决书快点下达，通过人民法院维护自己的合法权益。可是让我没想到的是到今天也没有看到判决书，曾多次找办案法官宗守礼询问案件进展情况。宗守礼都以各种理由推脱，由去年推到今年，由一月推到二月，由二月推到三月，一直推到今天还没结案，我也不知道该咋办，一头雾水不知道问题具体出在哪。希望通过此渠道能得到圆满的答复。简易程序审结不应该超过3月，一般程序不应该超过6个月，我也不知道我这个案件属于简易程序还是一般程序，不论哪一个程序都大大超出了结案的期限。宗守礼无视法律的规定，知法犯法，无故拖延审理期限，让我的合法权益无法得到保障，纵容了失信人员风气，国家法律得到玷污。恳求法院能够及时作出正确的判断，维护国家法律尊严，保证我个人的合法权益。此致敬礼原告：张庆田2018年5月15日,2018-05-15 14:08:54,关于中山区法院宗守礼超期未结案一事诉求,2018-05-15 15:47:22,大连市公共行政服务中心,G20180515-0023,已办结,尊敬的网友您好：您所反映的问题不属于我中心受理范围。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016362622eea5d71
请问一下中体奥林匹克花园项目中有部分产权性质为老年公寓，请问这种老年公寓与普通的公寓产权，在办理产权及后续交易上是否存在区别？,2018-05-14 16:14:46,关于老年公寓产权性质咨询,2018-05-16 15:55:40,交易发证中心,G20180514-0036,已办结,尊敬的网友您好：根据您的描述，我中心依据政府规划部门出具的文件在房产证中标记房屋的规划和设计用途。相关问题建议您咨询政府规划部门；我中心在办理业务时只区分土地使用年限为70年的住宅和土地使用年限为40或50年的非住宅。根据该小区规划文件:土地使用年限为40年，规划用途为老年公寓的，在我中心办理业务时按照非住宅办理。如果您对房屋登记还有其他问题，请您详细咨询我中心，咨询电话：0411-83691066、83691099。感谢您的关注！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301635db5a11b5bc5
请参照G20180511-0004所述问题！我知道在办理中，我就是要立帖为证，所以发在表扬栏里！重要的是我的“假设”是事实：安监局11日上午十点去的涉事企业，我的信件是11日上午八点就发出来，非法生产企业暂停生产时间和检查时间神同步，我不是大神，不会预测和假设!!!如果还认定所说一切是假设，请确认检查组检查时间后，再判定本人的对错！本人在这里郑重声明：以上所说所有，包括在G20180511-0004所述的问题，虽然是事实，目的只希望安监局重视和纠正非法生产行为，不针对安监局和安监局任何一个人，只是让这种违法情况不再发生！！！如果非法生产企业一旦发生重大安全生产事故，不是哪一个部门或哪一个人能承担得了的，希望领导们重视！,2018-05-12 20:30:32,相信安监局！,2018-05-29 15:53:45,瓦房店市人民政府,G20180512-0008,已办结,2018年5月10日接到市民服务中心市民诉求办理单，次日我局便派人会同仙浴湾镇安监站长前往你所诉的两家企业进行调查，现场没有发现作业人员。随即我们又分别对两家企业的负责人作了询问笔录，他们均表态在没有取得安全生产许可证以前绝不生产。5月15日又接到你的两份诉求，有关领导也做了批示，后经了解已停产。这件事情领导非常重视，我们也一直在密切关注，之所以才给你回复，我们就是要抓现形，让他们无可辩驳。非常感谢你对安全生产的关注和所尽的义务，这对我们今后的工作也是很大的触动和鞭策。真诚欢迎你继续监督我们的工作，我们也将切实改进工作作风和工作方法，进一步把安全生产工作落实到位，确保人民安居乐业，社会祥和稳定。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163544f3de7590f
近几年农村老家大量野猪，獾的野生动物破坏庄稼，家里老人辛辛苦苦种的地，到头来都被破坏了，村里没有任何人站出来说话或者上报，拨打林业局以及动物保护协会电话都打不通，希望得到帮助,2018-05-13 09:46:46,大量野猪祸害庄稼，还有獾的,2018-05-14 09:29:47,大连市公共行政服务中心,G20180513-0004,已办结,尊敬的网友您好：请您写清楚具体位置，属于哪个区，方便转职能部门处理。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016357282ba659ae
我想在贵网查询甘井子区亿达第五郡开发商--大连亿达美加房地产开发公司的开发商资质问题，请告知查询方式或查询结果,2018-05-13 15:32:14,如何在贵网查询大连第五郡开发商是几级资质,2018-05-15 08:51:26,城乡建设委员会,G20180513-0011,已办结,尊敬的网友您好：我委工作人员已与您联系，并及时将答复结果告知。感谢您对我们工作上的支持。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730163585e5b155a08
卫生城复检，钻石社区居委会到现在没有走进小区开展小区内随意堆放的垃圾，废旧木材，砖头等清理工作，也没有对被损毁的绿化进行修复。,2018-05-13 21:45:57,卫生城复检,2018-05-17 09:04:34,瓦房店市,G20180513-0015,已办结,自5月14日开始，各社区一直在各个楼道、小区打扫卫生，为迎接卫生城复检。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016359bf77145a5c
奥术大师多啊,2018-05-14 08:55:41,惨,2018-05-14 09:18:29,大连市公共行政服务中心,G20180514-0005,已办结,尊敬的网友您好：请您写清楚具体诉求，方便转职能部门处理。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301635c243a6c5adb
请参照G20180509-0019G20180511-0004G20180512-0008所述问题。瓦房店市人民政府-瓦房店市安监局领导：本人5月9日对仙浴湾镇两家石子厂非法生产进行了举报，12345平台受理并下拨到瓦房店市安监局进行调查处理。瓦房店市安监局与5月11日对举报信件涉及企业进行了检查（两家涉事企业在5月10日做出了了5月11日工厂放假的英明决策），退一万步来讲，检查时间与暂停非法生产时间的神同步这是彩票中头奖的巧合，那么我想问，胜利石子厂（良大博宇石子厂检查后暂停了非法生产）在5月11日暂停一天生产配合安监局检查后，5月12日即恢复了非法生产至我写此信的现在，这还是巧合?还是我的假设？？？安监局的领导们，在受理我的举报信并安排了事先通风的检查后，是什么让非法生产企业如此胆大妄为，如此猖狂？？？在习主席领导的新时代下，安监局如此的工作作为？？？在没有得到办结此非法生产行为回复前，我保留向其他部门申诉举报的权利！！！,2018-05-14 09:05:38,无安全生产许可证持续非法生产，是纵容还是胆大妄为？,2018-05-29 18:42:42,瓦房店市,G20180514-0006,已办结,2018年5月10日接到市民服务中心市民诉求办理单，次日我局便派人会同仙浴湾镇安监站长前往你所诉的两家企业进行调查，现场没有发现作业人员。随即我们又分别对两家企业的负责人作了询问笔录，他们均表态在没有取得安全生产许可证以前绝不生产。5月15日又接到你的两份诉求，有关领导也做了批示，后经了解已停产。这件事情领导非常重视，我们也一直在密切关注，之所以才给你回复，我们就是要抓现形，让他们无可辩驳。非常感谢你对安全生产的关注和所尽的义务，这对我们今后的工作也是很大的触动和鞭策。真诚欢迎你继续监督我们的工作，我们也将切实改进工作作风和工作方法，进一步把安全生产工作落实到位，确保人民安居乐业，社会祥和稳定。,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301635c2bb56f5ae0
我老婆1968.06.04出生，35岁时办理了养老保险，现在正在养老交保险，再有两个月就办理退休了。今天，我老婆听说1968年出生的，可以办理养老补助，可是已经过了4个月了。我想知道，政府部门是如何发布这个消息的？我们咋不知道？,2018-05-14 12:04:06,1968年出生，可以办理养老补助,2018-05-14 14:45:54,大连市公共行政服务中心,G20180514-0016,已办结,尊敬的网友您好：请提供户口所在地信息以便处理，您也可以直接向您爱人所属街道进行咨询，感谢您的支持！,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301635cc56ef95b3f
